City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Hofn,IS,2020-10-31 16:48:14,64.25,-15.21,43.59,75,100,10.98
93,Belize,BZ,2020-10-31 16:48:14,17.25,-88.75,80.01,73,73,3.2
94,Touros,BR,2020-10-31 16:48:14,-5.2,-35.46,86.0,66,75,18.34
95,Leningradskiy,RU,2020-10-31 16:48:14,69.38,178.42,18.95,93,94,10.42
96,Ous,RU,2020-10-31 16:48:14,60.91,61.52,35.02,94,100,7.16
97,Sayyan,YE,2020-10-31 16:48:14,15.17,44.32,56.77,35,14,7.16
98,Thio,NC,2020-10-31 16:48:14,-21.62,166.22,77.0,53,0,5.82
99,Albacete,ES,2020-10-31 16:48:14,38.83,-2.0,73.4,33,0,4.7
100,Chuy,UY,2020-10-31 16:48:14,-33.7,-53.46,65.23,60,43,8.77
101,Pevek,RU,2020-10-31 16:48:14,69.7,170.31,12.52,96,100,9.98
102,Pacific Grove,US,2020-10-31 16:48:15,36.62,-121.92,55.4,62,1,8.03
103,Port Alfred,ZA,2020-10-31 16:48:15,-33.59,26.89,65.26,74,85,15.32
104,Fortuna,US,2020-10-31 16:48:15,40.6,-124.16,48.2,87,1,2.51
105,Marsa Matruh,EG,2020-10-31 16:48:15,31.35,27.25,71.6,60,40,8.05
106,Souillac,MU,2020-10-31 16:48:15,-20.52,57.52,69.8,77,40,14.99
107,Lata,PT,2020-10-31 16:48:15,40.16,-8.33,69.01,79,61,1.99
108,Raudeberg,NO,2020-10-31 16:48:15,61.99,5.14,53.01,48,100,12.24
109,Mogadishu,SO,2020-10-31 16:48:15,2.04,45.34,80.62,80,5,13.0
110,Port Hardy,CA,2020-10-31 16:48:16,50.7,-127.42,46.4,93,75,4.7
111,Deputatskiy,RU,2020-10-31 16:48:16,69.3,139.9,-7.94,91,98,4.85
112,Basco,PH,2020-10-31 16:48:16,20.45,121.97,77.85,73,77,26.37
113,Ilulissat,GL,2020-10-31 16:48:16,69.22,-51.1,17.6,67,75,8.05
114,Palmer,US,2020-10-31 16:48:16,42.16,-72.33,37.99,74,1,0.27
115,Saskylakh,RU,2020-10-31 16:48:16,71.92,114.08,-4.52,83,1,6.06
116,Luderitz,NA,2020-10-31 16:48:16,-26.65,15.16,71.38,38,38,26.98
