City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
169,Envira,BR,-7.3,-70.22,86.76,52,100,2.46,overcast clouds
170,Catalao,BR,-18.17,-47.95,75.09,76,6,6.78,light rain
171,Port Alfred,ZA,-33.59,26.89,66.11,81,60,21.09,broken clouds
172,Great Yarmouth,GB,52.61,1.73,63.0,97,100,8.01,overcast clouds
173,Hofn,IS,64.25,-15.21,39.33,69,0,12.91,clear sky
174,Tianpeng,CN,30.99,103.94,64.99,87,57,2.33,broken clouds
175,Dzerzhinskoye,RU,56.83,95.23,32.88,94,100,7.58,overcast clouds
176,Salinas,US,36.68,-121.66,82.0,19,1,11.41,clear sky
177,Hobyo,SO,5.35,48.53,80.76,76,1,7.63,light rain
178,Codrington,AU,-38.27,141.97,49.1,81,70,8.55,broken clouds
179,Half Moon Bay,US,37.46,-122.43,73.99,68,20,6.93,few clouds
180,San Patricio,US,28.02,-97.52,82.0,39,20,16.11,few clouds
181,Eastbourne,GB,50.77,0.28,61.0,91,100,13.0,light rain
182,Severo-Kurilsk,RU,50.68,156.12,40.26,76,0,3.91,clear sky
183,Nisia Floresta,BR,-6.09,-35.21,84.2,74,40,13.87,scattered clouds
184,Avarua,CK,-21.21,-159.78,77.0,88,50,17.22,scattered clouds
185,Saint-Pierre,RE,-21.34,55.48,68.0,68,90,5.82,overcast clouds
186,Fare,PF,-16.7,-151.02,80.76,77,46,22.68,scattered clouds
187,Mount Gambier,AU,-37.83,140.77,48.2,93,57,6.93,broken clouds
188,Camana,PE,-16.62,-72.71,69.46,65,52,6.42,broken clouds
189,Nalut,LY,30.33,10.85,63.09,48,11,10.27,few clouds
190,Paramonga,PE,-10.67,-77.83,67.62,68,61,9.53,broken clouds
191,Freeport,US,40.66,-73.58,55.99,81,90,10.29,moderate rain
192,Juneau,US,58.3,-134.42,37.99,93,90,6.93,light rain
193,Paysandu,UY,-32.32,-58.08,71.78,49,0,9.35,clear sky
194,Margate,GB,51.38,1.39,63.0,94,100,8.01,overcast clouds
195,Lata,PT,40.16,-8.33,66.99,91,98,1.34,overcast clouds
196,Konya,TR,38.17,32.5,50.0,57,40,10.29,scattered clouds
197,Bua Yai,TH,15.59,102.43,72.73,85,23,7.34,few clouds
